pair_id	language	target_number	continuation	good_prefix_type	good_prefix	bad_prefix_type	bad_prefix	good_sentence	bad_sentence	subject_good	subject_bad	source_idx	has_attractor	distance	subject_lemma
deu_0000	deu	SG	dürfte bereits um 844 bestanden haben.	SG	Die Grafschaft, die sich zwischen Rabnitzbach und Raab erstreckte,	PL	Die Grafschaften, die sich zwischen Rabnitzbach und Raab erstreckten,	Die Grafschaft, die sich zwischen Rabnitzbach und Raab erstreckte, dürfte bereits um 844 bestanden haben.	Die Grafschaften, die sich zwischen Rabnitzbach und Raab erstreckten, dürfte bereits um 844 bestanden haben.	Grafschaft	Grafschaften	0	1	10	Grafschaft
deu_0000	deu	PL	dürften bereits um 844 bestanden haben.	PL	Die Grafschaften, die sich zwischen Rabnitzbach und Raab erstreckten,	SG	Die Grafschaft, die sich zwischen Rabnitzbach und Raab erstreckte,	Die Grafschaften, die sich zwischen Rabnitzbach und Raab erstreckten, dürften bereits um 844 bestanden haben.	Die Grafschaft, die sich zwischen Rabnitzbach und Raab erstreckte, dürften bereits um 844 bestanden haben.	Grafschaften	Grafschaft	0	1	10	Grafschaft
deu_0001	deu	SG	möchte, der ist hier genau richtig.	SG	Wer in einer angenehmen Atmosphäre und bei Sonne segeln oder segeln lernen	PL	Diejenigen, die in einer angenehmen Atmosphäre und bei Sonne segeln oder segeln lernen	Wer in einer angenehmen Atmosphäre und bei Sonne segeln oder segeln lernen möchte, der ist hier genau richtig.	Diejenigen, die in einer angenehmen Atmosphäre und bei Sonne segeln oder segeln lernen möchte, der ist hier genau richtig.	Wer	Diejenigen	1	1	12	wer
deu_0001	deu	PL	möchten, die sind hier genau richtig.	PL	Diejenigen, die in einer angenehmen Atmosphäre und bei Sonne segeln oder segeln lernen	SG	Wer in einer angenehmen Atmosphäre und bei Sonne segeln oder segeln lernen	Diejenigen, die in einer angenehmen Atmosphäre und bei Sonne segeln oder segeln lernen möchten, die sind hier genau richtig.	Wer in einer angenehmen Atmosphäre und bei Sonne segeln oder segeln lernen möchten, die sind hier genau richtig.	Diejenigen	Wer	1	1	12	wer
deu_0003	deu	SG	könne, und dass die Impulse dazu aus dem Volke kommen müssten.	SG	"Er kommt zu dem Schluss, dass das ""Kunstwerk der Zukunft"" nur durch eine Vereinigung von Tonkunst, Tanzkunst und Drama, in dem Zusammenspiel mit den bildenden Künsten (Bau -, Mal - und Bildhauerkunst) sich zu einer neuen Blüte entfalten"	PL	"Er kommt zu dem Schluss, dass die ""Kunstwerke der Zukunft"" nur durch eine Vereinigung von Tonkunst, Tanzkunst und Drama, in dem Zusammenspiel mit den bildenden Künsten (Bau -, Mal - und Bildhauerkunst) sich zu einer neuen Blüte entfalten"	"Er kommt zu dem Schluss, dass das ""Kunstwerk der Zukunft"" nur durch eine Vereinigung von Tonkunst, Tanzkunst und Drama, in dem Zusammenspiel mit den bildenden Künsten (Bau -, Mal - und Bildhauerkunst) sich zu einer neuen Blüte entfalten könne, und dass die Impulse dazu aus dem Volke kommen müssten."	"Er kommt zu dem Schluss, dass die ""Kunstwerke der Zukunft"" nur durch eine Vereinigung von Tonkunst, Tanzkunst und Drama, in dem Zusammenspiel mit den bildenden Künsten (Bau -, Mal - und Bildhauerkunst) sich zu einer neuen Blüte entfalten könne, und dass die Impulse dazu aus dem Volke kommen müssten."	Kunstwerk	Kunstwerke	6	1	37	Kunstwerk
deu_0003	deu	PL	können, und dass die Impulse dazu aus dem Volke kommen müssten.	PL	"Er kommt zu dem Schluss, dass die ""Kunstwerke der Zukunft"" nur durch eine Vereinigung von Tonkunst, Tanzkunst und Drama, in dem Zusammenspiel mit den bildenden Künsten (Bau -, Mal - und Bildhauerkunst) sich zu einer neuen Blüte entfalten"	SG	"Er kommt zu dem Schluss, dass das ""Kunstwerk der Zukunft"" nur durch eine Vereinigung von Tonkunst, Tanzkunst und Drama, in dem Zusammenspiel mit den bildenden Künsten (Bau -, Mal - und Bildhauerkunst) sich zu einer neuen Blüte entfalten"	"Er kommt zu dem Schluss, dass die ""Kunstwerke der Zukunft"" nur durch eine Vereinigung von Tonkunst, Tanzkunst und Drama, in dem Zusammenspiel mit den bildenden Künsten (Bau -, Mal - und Bildhauerkunst) sich zu einer neuen Blüte entfalten können, und dass die Impulse dazu aus dem Volke kommen müssten."	"Er kommt zu dem Schluss, dass das ""Kunstwerk der Zukunft"" nur durch eine Vereinigung von Tonkunst, Tanzkunst und Drama, in dem Zusammenspiel mit den bildenden Künsten (Bau -, Mal - und Bildhauerkunst) sich zu einer neuen Blüte entfalten können, und dass die Impulse dazu aus dem Volke kommen müssten."	Kunstwerke	Kunstwerk	6	1	37	Kunstwerk
deu_0004	deu	SG	könnte.	SG	Bereits 1926 schrieb Meyer an Irène Joliot-Curie und schlug ihr vor, dass Rona mit ihr arbeiten könne, um zu lernen, wie sein Labor seine eigenen Polonium-Proben herstellen	PL	Bereits 1926 schrieb Meyer an Irène Joliot-Curie und schlug ihr vor, dass Rona mit ihr arbeiten könne, um zu lernen, wie seine Labore ihre eigenen Polonium-Proben herstellen	Bereits 1926 schrieb Meyer an Irène Joliot-Curie und schlug ihr vor, dass Rona mit ihr arbeiten könne, um zu lernen, wie sein Labor seine eigenen Polonium-Proben herstellen könnte.	Bereits 1926 schrieb Meyer an Irène Joliot-Curie und schlug ihr vor, dass Rona mit ihr arbeiten könne, um zu lernen, wie seine Labore ihre eigenen Polonium-Proben herstellen könnte.	Labor	Labore	7	1	7	Labor
deu_0004	deu	PL	könnten.	PL	Bereits 1926 schrieb Meyer an Irène Joliot-Curie und schlug ihr vor, dass Rona mit ihr arbeiten könne, um zu lernen, wie seine Labore ihre eigenen Polonium-Proben herstellen	SG	Bereits 1926 schrieb Meyer an Irène Joliot-Curie und schlug ihr vor, dass Rona mit ihr arbeiten könne, um zu lernen, wie sein Labor seine eigenen Polonium-Proben herstellen	Bereits 1926 schrieb Meyer an Irène Joliot-Curie und schlug ihr vor, dass Rona mit ihr arbeiten könne, um zu lernen, wie seine Labore ihre eigenen Polonium-Proben herstellen könnten.	Bereits 1926 schrieb Meyer an Irène Joliot-Curie und schlug ihr vor, dass Rona mit ihr arbeiten könne, um zu lernen, wie sein Labor seine eigenen Polonium-Proben herstellen könnten.	Labore	Labor	7	1	7	Labor
deu_0005	deu	SG	werde sich in dem Zuge der ``Weiterentwicklung tiergerechter, effektiver Fallen'' weiter vermindern.	SG	Der Anteil dieser Fallen	PL	Die Anteile dieser Fallen	Der Anteil dieser Fallen werde sich in dem Zuge der ``Weiterentwicklung tiergerechter, effektiver Fallen'' weiter vermindern.	Die Anteile dieser Fallen werde sich in dem Zuge der ``Weiterentwicklung tiergerechter, effektiver Fallen'' weiter vermindern.	Anteil	Anteile	9	1	3	Anteil
deu_0005	deu	PL	werden sich in dem Zuge der ``Weiterentwicklung tiergerechter, effektiver Fallen'' weiter vermindern.	PL	Die Anteile dieser Fallen	SG	Der Anteil dieser Fallen	Die Anteile dieser Fallen werden sich in dem Zuge der ``Weiterentwicklung tiergerechter, effektiver Fallen'' weiter vermindern.	Der Anteil dieser Fallen werden sich in dem Zuge der ``Weiterentwicklung tiergerechter, effektiver Fallen'' weiter vermindern.	Anteile	Anteil	9	1	3	Anteil
