pair_id	language	target_number	good_prefix	bad_prefix	continuation	source_idx	distance	has_attractor	template_id	phenomenon_family
spa_0000	spa	PL	Los médicos	El médico	atienden al paciente	0	1	0	simple_np	SV-#
spa_0000	spa	SG	El médico	Los médicos	atiende al paciente	0	1	0	simple_np	SV-#
spa_0001	spa	PL	Unos estudiantes	Un estudiante	entregaron el proyecto	1	1	0	simple_np	SV-#
spa_0001	spa	SG	Un estudiante	Unos estudiantes	entregó el proyecto	1	1	0	simple_np	SV-#
spa_0002	spa	PL	Estas empresas	Esta empresa	presentaron nuevas propuestas	2	1	0	simple_np	SV-#
spa_0002	spa	SG	Esta empresa	Estas empresas	presentó nuevas propuestas	2	1	0	simple_np	SV-#
spa_0003	spa	PL	Mis perros	Mi perro	comieron la comida	3	1	0	simple_np	SV-#
spa_0003	spa	SG	Mi perro	Mis perros	comió la comida	3	1	0	simple_np	SV-#
spa_0004	spa	PL	Profesores	El profesor	corrigieron los exámenes	4	1	0	simple_np	SV-#
spa_0004	spa	SG	El profesor	Profesores	corrigió los exámenes	4	1	0	simple_np	SV-#
spa_0005	spa	PL	Las novelas	La novela	recibieron un premio	5	1	0	simple_np	SV-#
spa_0005	spa	SG	La novela	Las novelas	recibió un premio	5	1	0	simple_np	SV-#
spa_0006	spa	PL	Muchos árboles	Un árbol	cayeron durante la tormenta	6	1	0	simple_np	SV-#
spa_0006	spa	SG	Un árbol	Muchos árboles	cayó durante la tormenta	6	1	0	simple_np	SV-#
spa_0007	spa	PL	Nuestras escuelas	Nuestra escuela	cerraron por reformas	7	1	0	simple_np	SV-#
spa_0007	spa	SG	Nuestra escuela	Nuestras escuelas	cerró por reformas	7	1	0	simple_np	SV-#
spa_0008	spa	PL	Esos documentos	Ese documento	contienen información confidencial	8	1	0	simple_np	SV-#
spa_0008	spa	SG	Ese documento	Esos documentos	contiene información confidencial	8	1	0	simple_np	SV-#
spa_0009	spa	PL	Las torres	La torre	colapsaron tras el temblor	9	1	0	simple_np	SV-#
spa_0009	spa	SG	La torre	Las torres	colapsó tras el temblor	9	1	0	simple_np	SV-#
spa_0010	spa	PL	Los perros pequeños	El perro pequeño	ladran en el jardín por la noche.	10	2	0	adj_np	SV-#
spa_0010	spa	SG	El perro pequeño	Los perros pequeños	ladra en el jardín por la noche.	10	2	0	adj_np	SV-#
