pair_id	language	target_number	good_prefix	bad_prefix	continuation	source_idx	distance	has_attractor	template_id	phenomenon_family
deu_0000	deu	PL	Die Ärzte	Der Arzt	untersuchen den Patienten.	0	1	0	simple_np	SV-#
deu_0000	deu	SG	Der Arzt	Die Ärzte	untersucht den Patienten.	0	1	0	simple_np	SV-#
deu_0001	deu	PL	Studentinnen	Eine Studentin	lesen das Kapitel.	1	1	0	simple_np	SV-#
deu_0001	deu	SG	Eine Studentin	Studentinnen	liest das Kapitel.	1	1	0	simple_np	SV-#
deu_0002	deu	PL	Diese Vereine	Dieser Verein	organisieren ein Konzert.	2	1	0	simple_np	SV-#
deu_0002	deu	SG	Dieser Verein	Diese Vereine	organisiert ein Konzert.	2	1	0	simple_np	SV-#
deu_0003	deu	PL	Meine Brüder	Mein Bruder	kochen heute Abend.	3	1	0	simple_np	SV-#
deu_0003	deu	SG	Mein Bruder	Meine Brüder	kocht heute Abend.	3	1	0	simple_np	SV-#
deu_0004	deu	PL	Die Schiffe	Das Schiff	legen morgen ab.	4	1	0	simple_np	SV-#
deu_0004	deu	SG	Das Schiff	Die Schiffe	legt morgen ab.	4	1	0	simple_np	SV-#
deu_0005	deu	PL	Ihre Firmen	Ihre Firma	kündigen die Kooperation.	5	1	0	simple_np	SV-#
deu_0005	deu	SG	Ihre Firma	Ihre Firmen	kündigt die Kooperation.	5	1	0	simple_np	SV-#
deu_0006	deu	PL	Hunde	Ein Hund	jaulen laut.	6	1	0	simple_np	SV-#
deu_0006	deu	SG	Ein Hund	Hunde	jault laut.	6	1	0	simple_np	SV-#
deu_0007	deu	PL	Diese Studien	Diese Studie	zeigen neue Ergebnisse.	7	1	0	simple_np	SV-#
deu_0007	deu	SG	Diese Studie	Diese Studien	zeigt neue Ergebnisse.	7	1	0	simple_np	SV-#
deu_0008	deu	PL	Die Bücher	Das Buch	enthalten viele Illustrationen.	8	1	0	simple_np	SV-#
deu_0008	deu	SG	Das Buch	Die Bücher	enthält viele Illustrationen.	8	1	0	simple_np	SV-#
deu_0009	deu	PL	Manche Politiker	Mancher Politiker	versprechen Veränderungen.	9	1	0	simple_np	SV-#
deu_0009	deu	SG	Mancher Politiker	Manche Politiker	verspricht Veränderungen.	9	1	0	simple_np	SV-#
deu_0010	deu	PL	Die kleinen Vögel	Der kleine Vogel	singen jetzt im Garten.	10	2	0	adj_np	SV-#
deu_0010	deu	SG	Der kleine Vogel	Die kleinen Vögel	singt jetzt im Garten.	10	2	0	adj_np	SV-#
deu_0011	deu	PL	Zwei alte Lampen	Eine alte Lampe	stehen auf dem Regal.	11	2	0	adj_np	SV-#
deu_0011	deu	SG	Eine alte Lampe	Zwei alte Lampen	steht auf dem Regal.	11	2	0	adj_np	SV-#
deu_0012	deu	PL	Diese roten Blumen	Diese rote Blume	blühen im Frühbeet.	12	2	0	adj_np	SV-#
deu_0012	deu	SG	Diese rote Blume	Diese roten Blumen	blüht im Frühbeet.	12	2	0	adj_np	SV-#
deu_0013	deu	PL	Meine klugen Studenten	Mein kluger Student	antworten sofort.	13	2	0	adj_np	SV-#
deu_0013	deu	SG	Mein kluger Student	Meine klugen Studenten	antwortet sofort.	13	2	0	adj_np	SV-#
deu_0014	deu	PL	Die neuen Autos	Das neue Auto	fahren leise.	14	2	0	adj_np	SV-#
deu_0014	deu	SG	Das neue Auto	Die neuen Autos	fährt leise.	14	2	0	adj_np	SV-#
deu_0015	deu	PL	Die jungen Bären	Der junge Bär	schlafen unter dem Baum.	15	2	0	adj_np	SV-#
deu_0015	deu	SG	Der junge Bär	Die jungen Bären	schläft unter dem Baum.	15	2	0	adj_np	SV-#
deu_0016	deu	PL	Mehrere schwere Bücher	Ein schweres Buch	liegen auf dem Tisch.	16	2	0	adj_np	SV-#
deu_0016	deu	SG	Ein schweres Buch	Mehrere schwere Bücher	liegt auf dem Tisch.	16	2	0	adj_np	SV-#
deu_0017	deu	PL	Die präzisen Uhren	Die präzise Uhr	zeigen die richtige Zeit an.	17	2	0	adj_np	SV-#
deu_0017	deu	SG	Die präzise Uhr	Die präzisen Uhren	zeigt die richtige Zeit an.	17	2	0	adj_np	SV-#
