sen	verb	verb_idx	cop	cop_idx	child	child_idx	child_features	child_upos	head	head_idx	head_features	head_upos	distance	attractors	metadata	swap_head	feature_vals	prefix	wrong_sen	congruent_attractors	incongruent_attractors	num_attractors	num_congruent_attractors	num_incongruent_attractors	has_attractors	only_has_congruent_attractors	only_has_incongruent_attractors	sample_weight	phenomenon	lang	grammatical_feature	ungrammatical_feature	wo	inflect_item	agreement_certainty
Die Grafschaft, die sich zwischen Rabnitzbach und Raab erstreckte, dürfte bereits um 844 bestanden haben.	bestanden				Grafschaft		{'Case': 'Nom', 'Gender': 'Fem', 'Number': 'Sing', 'lemma': 'Grafschaft'}	NOUN	dürfte				10	[]	{'sent_id': 'train-s13703', 'text': 'Die Grafschaft, die sich zwischen Rabnitzbach und Raab erstreckte, dürfte bereits um 844 bestanden haben.', 'treebank': 'UD_German-GSD/de_gsd-ud-train.conllu', 'multiblimp_extended': True, 'pair_id': 'deu_0000', 'extended_role': 'sg'}	dürften	SG -> PL	Die Grafschaft, die sich zwischen Rabnitzbach und Raab erstreckte,	Die Grafschaft, die sich zwischen Rabnitzbach und Raab erstreckte, dürften bereits um 844 bestanden haben.	[]	[]	0	0	0	False	False	False	0.0238824947153118	SV-#	deu	SG	PL	SV	aux	+
Die Grafschaften, die sich zwischen Rabnitzbach und Raab erstreckten, dürften bereits um 844 bestanden haben.	bestanden				Grafschaften		{'lemma': 'Grafschaft', 'Number': 'Plur'}	NOUN	dürften				10	[]	{'sent_id': 'train-s13703', 'text': 'Die Grafschaft, die sich zwischen Rabnitzbach und Raab erstreckte, dürfte bereits um 844 bestanden haben.', 'treebank': 'UD_German-GSD/de_gsd-ud-train.conllu', 'multiblimp_extended': True, 'pair_id': 'deu_0000', 'extended_role': 'pl'}	dürfte	PL -> SG	Die Grafschaften, die sich zwischen Rabnitzbach und Raab erstreckten,	Die Grafschaften, die sich zwischen Rabnitzbach und Raab erstreckten, dürfte bereits um 844 bestanden haben.	[]	[]	0	0	0	False	False	False	0.0238824947153118	SV-#	deu	PL	SG	SV	aux	+
Wer in einer angenehmen Atmosphäre und bei Sonne segeln oder segeln lernen möchte, der ist hier genau richtig.	segeln				Wer		{'Case': 'Nom', 'Number': 'Sing', 'PronType': 'Int,Rel', 'lemma': 'wer'}	PRON	möchte,				12	[]	{'sent_id': 'test-s282', 'text': 'Wer in einer angenehmen Atmosphäre und bei Sonne segeln oder segeln lernen möchte, der ist hier genau richtig.', 'treebank': 'UD_German-GSD/de_gsd-ud-test.conllu', 'multiblimp_extended': True, 'pair_id': 'deu_0001', 'extended_role': 'sg'}	möchten,	SG -> PL	Wer in einer angenehmen Atmosphäre und bei Sonne segeln oder segeln lernen	Wer in einer angenehmen Atmosphäre und bei Sonne segeln oder segeln lernen möchten, die sind hier genau richtig.	[]	[]	0	0	0	False	False	False	0.0093692863883146	SV-#	deu	SG	PL	SV	aux	+
Diejenigen in einer angenehmen Atmosphäre und bei Sonne segeln oder segeln lernen möchten, die sind hier genau richtig.	segeln				Diejenigen		{'lemma': 'wer', 'Number': 'Plur'}	NOUN	möchten,				12	[]	{'sent_id': 'test-s282', 'text': 'Wer in einer angenehmen Atmosphäre und bei Sonne segeln oder segeln lernen möchte, der ist hier genau richtig.', 'treebank': 'UD_German-GSD/de_gsd-ud-test.conllu', 'multiblimp_extended': True, 'pair_id': 'deu_0001', 'extended_role': 'pl'}	möchte,	PL -> SG	Diejenigen in einer angenehmen Atmosphäre und bei Sonne segeln oder segeln lernen	Diejenigen in einer angenehmen Atmosphäre und bei Sonne segeln oder segeln lernen möchte, der ist hier genau richtig.	[]	[]	0	0	0	False	False	False	0.0093692863883146	SV-#	deu	PL	SG	SV	aux	+
Er hinterließ einen so hohen Schuldenberg, dass die Duchess das Erbe ihres verstorbenen Mannes ausschlagen musste.	ausschlagen				Duchess		{'Case': 'Nom', 'Gender': 'Fem', 'Number': 'Sing', 'lemma': 'Duchess'}	NOUN	musste.				7	[]	{'sent_id': 'train-s4229', 'text': 'Er hinterließ einen so hohen Schuldenberg, dass die Duchess das Erbe ihres verstorbenen Mannes ausschlagen musste.', 'treebank': 'UD_German-GSD/de_gsd-ud-train.conllu', 'multiblimp_extended': True, 'pair_id': 'deu_0002', 'extended_role': 'sg'}	mussten.	SG -> PL	Er hinterließ einen so hohen Schuldenberg, dass die Duchess das Erbe ihres verstorbenen Mannes ausschlagen	Er hinterließ einen so hohen Schuldenberg, dass die Duchess das Erbe ihres verstorbenen Mannes ausschlagen mussten.	[]	[]	0	0	0	False	False	False	0.0059706236788279	SV-#	deu	SG	PL	SV	aux	+
Er hinterließ einen so hohen Schuldenberg, dass die Duchesses das Erbe ihrer verstorbenen Männer ausschlagen mussten.	ausschlagen				Duchesses		{'lemma': 'Duchess', 'Number': 'Plur'}	NOUN	mussten.				7	[]	{'sent_id': 'train-s4229', 'text': 'Er hinterließ einen so hohen Schuldenberg, dass die Duchess das Erbe ihres verstorbenen Mannes ausschlagen musste.', 'treebank': 'UD_German-GSD/de_gsd-ud-train.conllu', 'multiblimp_extended': True, 'pair_id': 'deu_0002', 'extended_role': 'pl'}	musste.	PL -> SG	Er hinterließ einen so hohen Schuldenberg, dass die Duchesses das Erbe ihrer verstorbenen Männer ausschlagen	Er hinterließ einen so hohen Schuldenberg, dass die Duchesses das Erbe ihrer verstorbenen Männer ausschlagen musste.	[]	[]	0	0	0	False	False	False	0.0059706236788279	SV-#	deu	PL	SG	SV	aux	+
"Er kommt zu dem Schluss, dass das ""Kunstwerk der Zukunft"" nur durch eine Vereinigung von Tonkunst, Tanzkunst und Drama, in dem Zusammenspiel mit den bildenden Künsten (Bau -, Mal - und Bildhauerkunst) sich zu einer neuen Blüte entfalten könne, und dass die Impulse dazu aus dem Volke kommen müssten."	entfalten				Kunstwerk		{'Case': 'Nom', 'Gender': 'Neut', 'Number': 'Sing', 'lemma': 'Kunstwerk'}	NOUN	könne,				37	[]	"{'sent_id': 'train-s12574', 'text': 'Er kommt zu dem Schluss, dass das ""Kunstwerk der Zukunft"" nur durch eine Vereinigung von Tonkunst, Tanzkunst und Drama, im Zusammenspiel mit den bildenden Künsten (Bau -, Mal - und Bildhauerkunst) sich zu einer neuen Blüte entfalten könne, und dass die Impulse dazu aus dem Volke kommen müssten.', 'treebank': 'UD_German-GSD/de_gsd-ud-train.conllu', 'multiblimp_extended': True, 'pair_id': 'deu_0003', 'extended_role': 'sg'}"	können,	SG -> PL	"Er kommt zu dem Schluss, dass das ""Kunstwerk der Zukunft"" nur durch eine Vereinigung von Tonkunst, Tanzkunst und Drama, in dem Zusammenspiel mit den bildenden Künsten (Bau -, Mal - und Bildhauerkunst) sich zu einer neuen Blüte entfalten"	"Er kommt zu dem Schluss, dass das ""Kunstwerk der Zukunft"" nur durch eine Vereinigung von Tonkunst, Tanzkunst und Drama, in dem Zusammenspiel mit den bildenden Künsten (Bau -, Mal - und Bildhauerkunst) sich zu einer neuen Blüte entfalten können, und dass die Impulse dazu aus dem Volke kommen müssten."	[]	[]	0	0	0	False	False	False	0.0981172491220728	SV-#	deu	SG	PL	SV	aux	+
"Er kommt zu dem Schluss, dass die ""Kunstwerke der Zukunft"" nur durch eine Vereinigung von Tonkunst, Tanzkunst und Drama, in dem Zusammenspiel mit den bildenden Künsten (Bau -, Mal - und Bildhauerkunst) sich zu einer neuen Blüte entfalten können, und dass die Impulse dazu aus dem Volke kommen müssten."	entfalten				Kunstwerke		{'lemma': 'Kunstwerk', 'Number': 'Plur'}	NOUN	können,				37	[]	"{'sent_id': 'train-s12574', 'text': 'Er kommt zu dem Schluss, dass das ""Kunstwerk der Zukunft"" nur durch eine Vereinigung von Tonkunst, Tanzkunst und Drama, im Zusammenspiel mit den bildenden Künsten (Bau -, Mal - und Bildhauerkunst) sich zu einer neuen Blüte entfalten könne, und dass die Impulse dazu aus dem Volke kommen müssten.', 'treebank': 'UD_German-GSD/de_gsd-ud-train.conllu', 'multiblimp_extended': True, 'pair_id': 'deu_0003', 'extended_role': 'pl'}"	könne,	PL -> SG	"Er kommt zu dem Schluss, dass die ""Kunstwerke der Zukunft"" nur durch eine Vereinigung von Tonkunst, Tanzkunst und Drama, in dem Zusammenspiel mit den bildenden Künsten (Bau -, Mal - und Bildhauerkunst) sich zu einer neuen Blüte entfalten"	"Er kommt zu dem Schluss, dass die ""Kunstwerke der Zukunft"" nur durch eine Vereinigung von Tonkunst, Tanzkunst und Drama, in dem Zusammenspiel mit den bildenden Künsten (Bau -, Mal - und Bildhauerkunst) sich zu einer neuen Blüte entfalten könne, und dass die Impulse dazu aus dem Volke kommen müssten."	[]	[]	0	0	0	False	False	False	0.0981172491220728	SV-#	deu	PL	SG	SV	aux	+
Bereits 1926 schrieb Meyer an Irène Joliot-Curie und schlug ihr vor, dass Rona mit ihr arbeiten könne, um zu lernen, wie sein Labor seine eigenen Polonium-Proben herstellen könnte.	herstellen				Labor		{'Case': 'Nom', 'Gender': 'Neut', 'Number': 'Sing', 'lemma': 'Labor'}	NOUN	könnte.				7	[]	{'newdoc id': 'w01140', 'sent_id': 'w01140030', 'text': 'Bereits 1926 schrieb Meyer an Irène Joliot-Curie und schlug ihr vor, dass Rona mit ihr arbeiten könne, um zu lernen, wie sein Labor seine eigenen Polonium-Proben herstellen könnte.', 'text_en': 'As early as 1926, Meyer had written to Irène Joliot-Curie suggesting that Rona work with her to learn how his laboratory could make their own polonium samples.', 'treebank': 'UD_German-PUD/de_pud-ud-test.conllu', 'multiblimp_extended': True, 'pair_id': 'deu_0004', 'extended_role': 'sg'}	könnten.	SG -> PL	Bereits 1926 schrieb Meyer an Irène Joliot-Curie und schlug ihr vor, dass Rona mit ihr arbeiten könne, um zu lernen, wie sein Labor seine eigenen Polonium-Proben herstellen	Bereits 1926 schrieb Meyer an Irène Joliot-Curie und schlug ihr vor, dass Rona mit ihr arbeiten könne, um zu lernen, wie sein Labor seine eigenen Polonium-Proben herstellen könnten.	[]	[]	0	0	0	False	False	False	0.0608152771925274	SV-#	deu	SG	PL	SV	aux	+
Bereits 1926 schrieb Meyer an Irène Joliot-Curie und schlug ihr vor, dass Rona mit ihr arbeiten könne, um zu lernen, wie seine Labore ihre eigenen Polonium-Proben herstellen könnten.	herstellen				Labore		{'lemma': 'Labor', 'Number': 'Plur'}	NOUN	könnten.				7	[]	{'newdoc id': 'w01140', 'sent_id': 'w01140030', 'text': 'Bereits 1926 schrieb Meyer an Irène Joliot-Curie und schlug ihr vor, dass Rona mit ihr arbeiten könne, um zu lernen, wie sein Labor seine eigenen Polonium-Proben herstellen könnte.', 'text_en': 'As early as 1926, Meyer had written to Irène Joliot-Curie suggesting that Rona work with her to learn how his laboratory could make their own polonium samples.', 'treebank': 'UD_German-PUD/de_pud-ud-test.conllu', 'multiblimp_extended': True, 'pair_id': 'deu_0004', 'extended_role': 'pl'}	könnte.	PL -> SG	Bereits 1926 schrieb Meyer an Irène Joliot-Curie und schlug ihr vor, dass Rona mit ihr arbeiten könne, um zu lernen, wie seine Labore ihre eigenen Polonium-Proben herstellen	Bereits 1926 schrieb Meyer an Irène Joliot-Curie und schlug ihr vor, dass Rona mit ihr arbeiten könne, um zu lernen, wie seine Labore ihre eigenen Polonium-Proben herstellen könnte.	[]	[]	0	0	0	False	False	False	0.0608152771925274	SV-#	deu	PL	SG	SV	aux	+
