sen	verb	verb_idx	cop	cop_idx	child	child_idx	child_features	child_upos	head	head_idx	head_features	head_upos	distance	attractors	metadata	swap_head	feature_vals	prefix	wrong_sen	congruent_attractors	incongruent_attractors	num_attractors	num_congruent_attractors	num_incongruent_attractors	has_attractors	only_has_congruent_attractors	only_has_incongruent_attractors	sample_weight	phenomenon	lang	grammatical_feature	ungrammatical_feature	wo	inflect_item	agreement_certainty
Kohl interpretó en su favor el hecho de que el encargado de analizar la desaparición de este material, Burkhard Hirsch, no haya apuntado a ningún responsable en concreto.	apuntado				encargado		{'Gender': 'Masc', 'Number': 'Sing', 'lemma': 'encargado'}	NOUN	haya				13	[]	{'sent_id': 'CESS-CAST-AA-20000629-24155-s15', 'text': 'Kohl interpretó en su favor el hecho de que el encargado de analizar la desaparición de este material, Burkhard Hirsch, no haya apuntado a ningún responsable en concreto.', 'treebank': 'UD_Spanish-AnCora/es_ancora-ud-train.conllu', 'multiblimp_extended': True, 'pair_id': 'spa_0000', 'extended_role': 'sg'}	hayan	SG -> PL	Kohl interpretó en su favor el hecho de que el encargado de analizar la desaparición de este material, Burkhard Hirsch, no	Kohl interpretó en su favor el hecho de que el encargado de analizar la desaparición de este material, Burkhard Hirsch, no hayan apuntado a ningún responsable en concreto.	[]	[]	0	0	0	False	False	False	0.0122072200818231	SV-#	spa	SG	PL	SV	aux	+
Kohl interpretó en su favor el hecho de que los encargados de analizar la desaparición de este material, Burkhard Hirsch, no hayan apuntado a ningún responsable en concreto.	apuntado				encargados		{'lemma': 'encargado', 'Number': 'Plur'}	NOUN	hayan				13	[]	{'sent_id': 'CESS-CAST-AA-20000629-24155-s15', 'text': 'Kohl interpretó en su favor el hecho de que el encargado de analizar la desaparición de este material, Burkhard Hirsch, no haya apuntado a ningún responsable en concreto.', 'treebank': 'UD_Spanish-AnCora/es_ancora-ud-train.conllu', 'multiblimp_extended': True, 'pair_id': 'spa_0000', 'extended_role': 'pl'}	haya	PL -> SG	Kohl interpretó en su favor el hecho de que los encargados de analizar la desaparición de este material, Burkhard Hirsch, no	Kohl interpretó en su favor el hecho de que los encargados de analizar la desaparición de este material, Burkhard Hirsch, no haya apuntado a ningún responsable en concreto.	[]	[]	0	0	0	False	False	False	0.0122072200818231	SV-#	spa	PL	SG	SV	aux	+
El filme de el cineasta francés Bruno Dumont, que obtuvo el Gran Premio de el Jurado en el último festival de Cannes, será retirado hoy de las salas a petición de su realizador y de su distribuidora italiana.	retirada				filme		{'Gender': 'Masc', 'Number': 'Sing', 'lemma': 'filme'}	NOUN	será				23	[]	{'sent_id': 'CESS-CAST-P-19991201-135_c-s2', 'text': 'El filme del cineasta francés Bruno Dumont, que obtuvo el Gran Premio del Jurado en el último festival de Cannes, será retirada hoy de las salas a petición de su realizador y de su distribuidora italiana.', 'treebank': 'UD_Spanish-AnCora/es_ancora-ud-train.conllu', 'multiblimp_extended': True, 'pair_id': 'spa_0001', 'extended_role': 'sg'}	serán	SG -> PL	El filme de el cineasta francés Bruno Dumont, que obtuvo el Gran Premio de el Jurado en el último festival de Cannes,	El filme de el cineasta francés Bruno Dumont, que obtuvo el Gran Premio de el Jurado en el último festival de Cannes, serán retirados hoy de las salas a petición de su realizador y de su distribuidora italiana.	[]	[]	0	0	0	False	False	False	0.0175680627632586	SV-#	spa	SG	PL	SV	aux	+
Los filmes de el cineasta francés Bruno Dumont, que obtuvieron el Gran Premio de el Jurado en el último festival de Cannes, serán retirados hoy de las salas a petición de su realizador y de su distribuidora italiana.	retirada				filmes		{'lemma': 'filme', 'Number': 'Plur'}	NOUN	serán				23	[]	{'sent_id': 'CESS-CAST-P-19991201-135_c-s2', 'text': 'El filme del cineasta francés Bruno Dumont, que obtuvo el Gran Premio del Jurado en el último festival de Cannes, será retirada hoy de las salas a petición de su realizador y de su distribuidora italiana.', 'treebank': 'UD_Spanish-AnCora/es_ancora-ud-train.conllu', 'multiblimp_extended': True, 'pair_id': 'spa_0001', 'extended_role': 'pl'}	será	PL -> SG	Los filmes de el cineasta francés Bruno Dumont, que obtuvieron el Gran Premio de el Jurado en el último festival de Cannes,	Los filmes de el cineasta francés Bruno Dumont, que obtuvieron el Gran Premio de el Jurado en el último festival de Cannes, será retirado hoy de las salas a petición de su realizador y de su distribuidora italiana.	[]	[]	0	0	0	False	False	False	0.0175680627632586	SV-#	spa	PL	SG	SV	aux	+
Porque un gobierno con una economía que crece como la Argentina y con una oposición fragmentada y confusa, no debería tener ni el más mínimo margen de riesgo.	tener				gobierno		{'Gender': 'Masc', 'Number': 'Sing', 'lemma': 'gobierno'}	NOUN	debería				18	[]	{'sent_id': 'es-train-014-s242', 'text': 'Porque un gobierno con una economía que crece como la Argentina y con una oposición fragmentada y confusa, no debería tener ni el más mínimo margen de riesgo.', 'treebank': 'UD_Spanish-GSD/es_gsd-ud-train.conllu', 'multiblimp_extended': True, 'pair_id': 'spa_0002', 'extended_role': 'sg'}	deberían	SG -> PL	Porque un gobierno con una economía que crece como la Argentina y con una oposición fragmentada y confusa, no	Porque un gobierno con una economía que crece como la Argentina y con una oposición fragmentada y confusa, no deberían tener ni el más mínimo margen de riesgo.	[]	[]	0	0	0	False	False	False	0.0207522741390993	SV-#	spa	SG	PL	SV	aux	+
Porque unos gobiernos con una economía que crece como la Argentina y con una oposición fragmentada y confusa, no deberían tener ni el más mínimo margen de riesgo.	tener				gobiernos		{'lemma': 'gobierno', 'Number': 'Plur'}	NOUN	deberían				18	[]	{'sent_id': 'es-train-014-s242', 'text': 'Porque un gobierno con una economía que crece como la Argentina y con una oposición fragmentada y confusa, no debería tener ni el más mínimo margen de riesgo.', 'treebank': 'UD_Spanish-GSD/es_gsd-ud-train.conllu', 'multiblimp_extended': True, 'pair_id': 'spa_0002', 'extended_role': 'pl'}	debería	PL -> SG	Porque unos gobiernos con una economía que crece como la Argentina y con una oposición fragmentada y confusa, no	Porque unos gobiernos con una economía que crece como la Argentina y con una oposición fragmentada y confusa, no debería tener ni el más mínimo margen de riesgo.	[]	[]	0	0	0	False	False	False	0.0207522741390993	SV-#	spa	PL	SG	SV	aux	+
Ciertamente, cualquiera que haya visto el show de la cantante deberá recordar la presentación durante mucho tiempo».	recordar				cualquiera		{'Number': 'Sing', 'PronType': 'Ind', 'lemma': 'cualquiera'}	PRON	deberá				9	[]	{'sent_id': 'es-train-023-s33', 'text': 'Ciertamente, cualquiera que haya visto el show de la cantante deberá recordar la presentación durante mucho tiempo».', 'treebank': 'UD_Spanish-GSD/es_gsd-ud-train.conllu', 'multiblimp_extended': True, 'pair_id': 'spa_0003', 'extended_role': 'sg'}	deberán	SG -> PL	Ciertamente, cualquiera que haya visto el show de la cantante	Ciertamente, cualquiera que haya visto el show de la cantante deberán recordar la presentación durante mucho tiempo».	[]	[]	0	0	0	False	False	False	0.0035702837228557	SV-#	spa	SG	PL	SV	aux	+
Ciertamente, cualesquiera que hayan visto el show de la cantante deberán recordar la presentación durante mucho tiempo».	recordar				cualesquiera		{'lemma': 'cualquiera', 'Number': 'Plur'}	NOUN	deberán				9	[]	{'sent_id': 'es-train-023-s33', 'text': 'Ciertamente, cualquiera que haya visto el show de la cantante deberá recordar la presentación durante mucho tiempo».', 'treebank': 'UD_Spanish-GSD/es_gsd-ud-train.conllu', 'multiblimp_extended': True, 'pair_id': 'spa_0003', 'extended_role': 'pl'}	deberá	PL -> SG	Ciertamente, cualesquiera que hayan visto el show de la cantante	Ciertamente, cualesquiera que hayan visto el show de la cantante deberá recordar la presentación durante mucho tiempo».	[]	[]	0	0	0	False	False	False	0.0035702837228557	SV-#	spa	PL	SG	SV	aux	+
El incumplimiento de esos compromisos sería penalizado con reducciones en el subsidio de desempleo, uno de los puntos esenciales que deberán concretar se el lunes.	penalizado				incumplimiento		{'Gender': 'Masc', 'Number': 'Sing', 'lemma': 'incumplimiento'}	NOUN	sería				4	[]	{'sent_id': '3LB-CAST-2000060204_5-3-s13', 'text': 'El incumplimiento de esos compromisos sería penalizado con reducciones en el subsidio de desempleo, uno de los puntos esenciales que deberán concretarse el lunes.', 'treebank': 'UD_Spanish-AnCora/es_ancora-ud-train.conllu', 'multiblimp_extended': True, 'pair_id': 'spa_0004', 'extended_role': 'sg'}	seríamos	SG -> PL	El incumplimiento de esos compromisos	El incumplimiento de esos compromisos seríamos penalizados con reducciones en el subsidio de desempleo, uno de los puntos esenciales que deberán concretar se el lunes.	[]	[]	0	0	0	False	False	False	0.0496248323550697	SV-#	spa	SG	PL	SV	aux	+
Los incumplimientos de esos compromisos seríamos penalizados con reducciones en el subsidio de desempleo, uno de los puntos esenciales que deberán concretar se el lunes.	penalizado				incumplimientos		{'lemma': 'incumplimiento', 'Number': 'Plur'}	NOUN	seríamos				4	[]	{'sent_id': '3LB-CAST-2000060204_5-3-s13', 'text': 'El incumplimiento de esos compromisos sería penalizado con reducciones en el subsidio de desempleo, uno de los puntos esenciales que deberán concretarse el lunes.', 'treebank': 'UD_Spanish-AnCora/es_ancora-ud-train.conllu', 'multiblimp_extended': True, 'pair_id': 'spa_0004', 'extended_role': 'pl'}	sería	PL -> SG	Los incumplimientos de esos compromisos	Los incumplimientos de esos compromisos sería penalizado con reducciones en el subsidio de desempleo, uno de los puntos esenciales que deberán concretar se el lunes.	[]	[]	0	0	0	False	False	False	0.0496248323550697	SV-#	spa	PL	SG	SV	aux	+
