pair_id	language	target_number	good_prefix	bad_prefix	continuation	source_idx	distance	has_attractor	template_id	phenomenon_family
eng_0000	eng	PL	The teachers	The teacher	explain the concept clearly.	0	1	0	simple_np	SV-#
eng_0000	eng	SG	The teacher	The teachers	explains the concept clearly.	0	1	0	simple_np	SV-#
eng_0001	eng	PL	Directors	A director	approve the proposal.	1	1	0	simple_np	SV-#
eng_0001	eng	SG	A director	Directors	approves the proposal.	1	1	0	simple_np	SV-#
eng_0002	eng	PL	These dogs	This dog	bark at the mail carrier.	2	1	0	simple_np	SV-#
eng_0002	eng	SG	This dog	These dogs	barks at the mail carrier.	2	1	0	simple_np	SV-#
eng_0003	eng	PL	Our friends	My friend	call every evening.	3	1	0	simple_np	SV-#
eng_0003	eng	SG	My friend	Our friends	calls every evening.	3	1	0	simple_np	SV-#
eng_0004	eng	PL	Those smartphones	That smartphone	vibrate on the table.	4	1	0	simple_np	SV-#
eng_0004	eng	SG	That smartphone	Those smartphones	vibrates on the table.	4	1	0	simple_np	SV-#
eng_0005	eng	PL	The committees	The committee	reach a decision.	5	1	0	simple_np	SV-#
eng_0005	eng	SG	The committee	The committees	reaches a decision.	5	1	0	simple_np	SV-#
eng_0006	eng	PL	Rivers	A river	flow through the valley.	6	1	0	simple_np	SV-#
eng_0006	eng	SG	A river	Rivers	flows through the valley.	6	1	0	simple_np	SV-#
eng_0007	eng	PL	The reports	The report	contain several errors.	7	1	0	simple_np	SV-#
eng_0007	eng	SG	The report	The reports	contains several errors.	7	1	0	simple_np	SV-#
eng_0008	eng	PL	These artists	This artist	paint a mural downtown.	8	1	0	simple_np	SV-#
eng_0008	eng	SG	This artist	These artists	paints a mural downtown.	8	1	0	simple_np	SV-#
eng_0009	eng	PL	Children	A child	laugh at the clown.	9	1	0	simple_np	SV-#
eng_0009	eng	SG	A child	Children	laughs at the clown.	9	1	0	simple_np	SV-#
eng_0010	eng	PL	the tall men	the tall man	are walking down the street.	10	1	0	adj_np	SV-#
eng_0010	eng	SG	the tall man	the tall men	is walking down the street.	10	1	0	adj_np	SV-#
eng_0011	eng	PL	old books	an old book	sit on the top shelf.	11	1	0	adj_np	SV-#
eng_0011	eng	SG	an old book	old books	sits on the top shelf.	11	1	0	adj_np	SV-#
eng_0012	eng	PL	these successful companies	this successful company	employ dozens of engineers.	12	1	0	adj_np	SV-#
eng_0012	eng	SG	this successful company	these successful companies	employs dozens of engineers.	12	1	0	adj_np	SV-#
eng_0013	eng	PL	my red cars	my red car	need repairs.	13	1	0	adj_np	SV-#
eng_0013	eng	SG	my red car	my red cars	needs repairs.	13	1	0	adj_np	SV-#
eng_0014	eng	PL	French chefs	a French chef	prepare the special for tonight.	14	1	0	adj_np	SV-#
eng_0014	eng	SG	a French chef	French chefs	prepares the special for tonight.	14	1	0	adj_np	SV-#
eng_0015	eng	PL	the digital files	the digital file	contain confidential data.	15	1	0	adj_np	SV-#
eng_0015	eng	SG	the digital file	the digital files	contains confidential data.	15	1	0	adj_np	SV-#
eng_0016	eng	PL	the tiny mice	the tiny mouse	scurry across the kitchen floor.	16	1	0	adj_np	SV-#
eng_0016	eng	SG	the tiny mouse	the tiny mice	scurries across the kitchen floor.	16	1	0	adj_np	SV-#
eng_0017	eng	PL	those wooden chairs	that wooden chair	wobble when someone sits.	17	1	0	adj_np	SV-#
eng_0017	eng	SG	that wooden chair	those wooden chairs	wobbles when someone sits.	17	1	0	adj_np	SV-#
eng_0018	eng	PL	the ancient trees	the ancient tree	provide shade for the bench.	18	1	0	adj_np	SV-#
eng_0018	eng	SG	the ancient tree	the ancient trees	provides shade for the bench.	18	1	0	adj_np	SV-#
eng_0019	eng	PL	our reliable algorithms	our reliable algorithm	produce accurate predictions.	19	1	0	adj_np	SV-#
eng_0019	eng	SG	our reliable algorithm	our reliable algorithms	produces accurate predictions.	19	1	0	adj_np	SV-#
eng_0020	eng	PL	The ancient wooden bridges	The ancient wooden bridge	span the narrow riverbed.	20	1	0	long_subject_no_attractor	SV-#
eng_0020	eng	SG	The ancient wooden bridge	The ancient wooden bridges	spans the narrow riverbed.	20	1	0	long_subject_no_attractor	SV-#
eng_0021	eng	PL	Three eager volunteers	One eager volunteer	collect donations at the shelter.	21	1	0	long_subject_no_attractor	SV-#
eng_0021	eng	SG	One eager volunteer	Three eager volunteers	collects donations at the shelter.	21	1	0	long_subject_no_attractor	SV-#
eng_0022	eng	PL	The recently renovated old libraries	The recently renovated old library	house several rare manuscripts.	22	1	0	long_subject_no_attractor	SV-#
eng_0022	eng	SG	The recently renovated old library	The recently renovated old libraries	houses several rare manuscripts.	22	1	0	long_subject_no_attractor	SV-#
eng_0023	eng	PL	My bright young sisters	My bright young sister	sing with the chamber choir.	23	1	0	long_subject_no_attractor	SV-#
eng_0023	eng	SG	My bright young sister	My bright young sisters	sings with the chamber choir.	23	1	0	long_subject_no_attractor	SV-#
eng_0024	eng	PL	Those tall rocky islands	That tall rocky island	erode noticeably after each storm.	24	1	0	long_subject_no_attractor	SV-#
eng_0024	eng	SG	That tall rocky island	Those tall rocky islands	erodes noticeably after each storm.	24	1	0	long_subject_no_attractor	SV-#
eng_0025	eng	PL	Five broken windows	One broken window	rattle in the wind.	25	1	0	long_subject_no_attractor	SV-#
eng_0025	eng	SG	One broken window	Five broken windows	rattles in the wind.	25	1	0	long_subject_no_attractor	SV-#
eng_0026	eng	PL	The newly elected young mayors	The newly elected young mayor	promise immediate reforms.	26	1	0	long_subject_no_attractor	SV-#
eng_0026	eng	SG	The newly elected young mayor	The newly elected young mayors	promises immediate reforms.	26	1	0	long_subject_no_attractor	SV-#
eng_0027	eng	PL	Her old battered guitars	Her old battered guitar	hang on the studio wall.	27	1	0	long_subject_no_attractor	SV-#
eng_0027	eng	SG	Her old battered guitar	Her old battered guitars	hangs on the studio wall.	27	1	0	long_subject_no_attractor	SV-#
eng_0028	eng	PL	These cracked marble statues	This cracked marble statue	stand in the central plaza.	28	1	0	long_subject_no_attractor	SV-#
eng_0028	eng	SG	This cracked marble statue	These cracked marble statues	stands in the central plaza.	28	1	0	long_subject_no_attractor	SV-#
eng_0029	eng	PL	Two anxious students	One anxious student	study late into the night.	29	1	0	long_subject_no_attractor	SV-#
eng_0029	eng	SG	One anxious student	Two anxious students	studies late into the night.	29	1	0	long_subject_no_attractor	SV-#
eng_0030	eng	PL	The committees of scientists	The committee of scientists	decide the funding allocations next week.	30	2	1	pp_attractor	SV-#
eng_0030	eng	SG	The committee of scientists	The committees of scientists	decides the funding allocations next week.	30	2	1	pp_attractor	SV-#
eng_0031	eng	PL	Boxes under the shelf	A box under the shelf	hold fragile equipment.	31	3	1	pp_attractor	SV-#
eng_0031	eng	SG	A box under the shelf	Boxes under the shelf	holds fragile equipment.	31	3	1	pp_attractor	SV-#
eng_0032	eng	PL	The teachers near the principal	The teacher near the principal	are evaluating the curriculum today.	32	3	1	pp_attractor	SV-#
eng_0032	eng	SG	The teacher near the principal	The teachers near the principal	is evaluating the curriculum today.	32	3	1	pp_attractor	SV-#
eng_0033	eng	PL	The rivers behind the houses	The river behind the houses	flow through the valley.	33	3	1	pp_attractor	SV-#
eng_0033	eng	SG	The river behind the houses	The rivers behind the houses	flows through the valley.	33	3	1	pp_attractor	SV-#
eng_0034	eng	PL	Those policies among analysts	That policy among analysts	remain controversial.	34	2	1	pp_attractor	SV-#
eng_0034	eng	SG	That policy among analysts	Those policies among analysts	remains controversial.	34	2	1	pp_attractor	SV-#
eng_0035	eng	PL	The squads beside the stadium	The squad beside the stadium	celebrate their victory tonight.	35	3	1	pp_attractor	SV-#
eng_0035	eng	SG	The squad beside the stadium	The squads beside the stadium	celebrates its victory tonight.	35	3	1	pp_attractor	SV-#
eng_0036	eng	PL	Our museums inside the old quarter	Our museum inside the old quarter	house an important collection of artifacts.	36	4	1	pp_attractor	SV-#
eng_0036	eng	SG	Our museum inside the old quarter	Our museums inside the old quarter	houses an important collection of artifacts.	36	4	1	pp_attractor	SV-#
eng_0037	eng	PL	These ideas from the report	This idea from the report	originate in the recent survey.	37	2	1	pp_attractor	SV-#
eng_0037	eng	SG	This idea from the report	These ideas from the report	originates in the recent survey.	37	2	1	pp_attractor	SV-#
eng_0038	eng	PL	My dogs next to the cars	My dog next to the cars	bark at strangers.	38	4	1	pp_attractor	SV-#
eng_0038	eng	SG	My dog next to the cars	My dogs next to the cars	barks at strangers.	38	4	1	pp_attractor	SV-#
eng_0039	eng	PL	The buoys below the bridge	The buoy below the bridge	mark the shipping lane.	39	3	1	pp_attractor	SV-#
eng_0039	eng	SG	The buoy below the bridge	The buoys below the bridge	marks the shipping lane.	39	3	1	pp_attractor	SV-#
eng_0040	eng	PL	Several of the students	One of the students	claim that the exam was unfair.	40	4	1	quantifier_head_attractor	SV-#
eng_0040	eng	SG	One of the students	Several of the students	claims that the exam was unfair.	40	4	1	quantifier_head_attractor	SV-#
eng_0041	eng	PL	Many of the delegates	Each of the delegates	applaud the speaker.	41	4	1	quantifier_head_attractor	SV-#
eng_0041	eng	SG	Each of the delegates	Many of the delegates	applauds the speaker.	41	4	1	quantifier_head_attractor	SV-#
eng_0042	eng	PL	Few of her colleagues	Either of her colleagues	seem to know the procedure.	42	4	1	quantifier_head_attractor	SV-#
eng_0042	eng	SG	Either of her colleagues	Few of her colleagues	seems to know the procedure.	42	4	1	quantifier_head_attractor	SV-#
eng_0043	eng	PL	Most of the engineers	One of the engineers	have completed the schematic.	43	4	1	quantifier_head_attractor	SV-#
eng_0043	eng	SG	One of the engineers	Most of the engineers	has completed the schematic.	43	4	1	quantifier_head_attractor	SV-#
eng_0044	eng	PL	Several of these books	Each of these books	contain rare woodcuts.	44	4	1	quantifier_head_attractor	SV-#
