pair_id	language	target_number	good_prefix	bad_prefix	continuation	source_idx	distance	has_attractor	template_id	phenomenon_family
deu_0000	deu	PL	Die Studenten	Der Student	lesen das Buch.	0	1	0	simple_np	SV-#
deu_0000	deu	SG	Der Student	Die Studenten	liest das Buch.	0	1	0	simple_np	SV-#
deu_0001	deu	PL	Diese Katzen	Diese Katze	jagen die Maus.	1	1	0	simple_np	SV-#
deu_0001	deu	SG	Diese Katze	Diese Katzen	jagt die Maus.	1	1	0	simple_np	SV-#
deu_0002	deu	PL	Die Firmen	Die Firma	eröffnen eine neue Filiale.	2	1	0	simple_np	SV-#
deu_0002	deu	SG	Die Firma	Die Firmen	eröffnet eine neue Filiale.	2	1	0	simple_np	SV-#
deu_0003	deu	PL	Diese Bücher	Dieses Buch	enthalten wichtige Informationen.	3	1	0	simple_np	SV-#
deu_0003	deu	SG	Dieses Buch	Diese Bücher	enthält wichtige Informationen.	3	1	0	simple_np	SV-#
deu_0004	deu	PL	Meine Lehrer	Mein Lehrer	loben den Schüler.	4	1	0	simple_np	SV-#
deu_0004	deu	SG	Mein Lehrer	Meine Lehrer	lobt den Schüler.	4	1	0	simple_np	SV-#
deu_0005	deu	PL	Die Flüsse	Der Fluss	fließen schnell vorbei.	5	1	0	simple_np	SV-#
deu_0005	deu	SG	Der Fluss	Die Flüsse	fließt schnell vorbei.	5	1	0	simple_np	SV-#
deu_0006	deu	PL	Die Hunde	Der Hund	bellen laut.	6	1	0	simple_np	SV-#
deu_0006	deu	SG	Der Hund	Die Hunde	bellt laut.	6	1	0	simple_np	SV-#
deu_0007	deu	PL	Die Museen	Das Museum	zeigen moderne Kunst.	7	1	0	simple_np	SV-#
deu_0007	deu	SG	Das Museum	Die Museen	zeigt moderne Kunst.	7	1	0	simple_np	SV-#
deu_0008	deu	PL	Die Briefe	Der Brief	kommen heute an.	8	1	0	simple_np	SV-#
deu_0008	deu	SG	Der Brief	Die Briefe	kommt heute an.	8	1	0	simple_np	SV-#
deu_0009	deu	PL	Mehrere Obstbäume	Ein Obstbaum	tragen viele Früchte.	9	1	0	simple_np	SV-#
deu_0009	deu	SG	Ein Obstbaum	Mehrere Obstbäume	trägt viele Früchte.	9	1	0	simple_np	SV-#
deu_0010	deu	PL	Die großen Hunde	Der große Hund	bellen laut im Garten	10	1	0	adj_np	SV-#
deu_0010	deu	SG	Der große Hund	Die großen Hunde	bellt laut im Garten	10	1	0	adj_np	SV-#
deu_0011	deu	PL	Zwei junge Studenten	Ein junger Student	schreiben einen Aufsatz	11	1	0	adj_np	SV-#
deu_0011	deu	SG	Ein junger Student	Zwei junge Studenten	schreibt einen Aufsatz	11	1	0	adj_np	SV-#
deu_0012	deu	PL	Die roten Autos	Das rote Auto	bremsen plötzlich	12	1	0	adj_np	SV-#
deu_0012	deu	SG	Das rote Auto	Die roten Autos	bremst plötzlich	12	1	0	adj_np	SV-#
deu_0013	deu	PL	Die konservativen Regierungen	Die konservative Regierung	entscheiden heute	13	1	0	adj_np	SV-#
deu_0013	deu	SG	Die konservative Regierung	Die konservativen Regierungen	entscheidet heute	13	1	0	adj_np	SV-#
deu_0014	deu	PL	Die historischen Städte	Die historische Stadt	wachsen weiter	14	1	0	adj_np	SV-#
