pair_id	language	target_number	continuation	good_prefix_type	good_prefix	bad_prefix_type	bad_prefix	good_sentence	bad_sentence	source_idx	has_attractor	distance	subject_lemma
eng_0000	eng	PL	verify this - it's the same for Canada, too.....	PL	The below sites from the US government	SG	The below site from the US government	The below sites from the US government verify this - it's the same for Canada, too.....	The below site from the US government verify this - it's the same for Canada, too.....	0	1	5	site
eng_0000	eng	SG	verifies this - it's the same for Canada, too.....	SG	The below site from the US government	PL	The below sites from the US government	The below site from the US government verifies this - it's the same for Canada, too.....	The below sites from the US government verifies this - it's the same for Canada, too.....	0	1	5	site
eng_0001	eng	PL	interpret or transform the XML data into a presentation format that can be recognized by another application, such as Service Advertising Protocol (SAP) or a custom purchase order format.	PL	Typically, a developer creates XSL transformation files that, when applied to an XML document during export,	SG	Typically, a developer creates an XSL transformation file that, when applied to an XML document during export,	Typically, a developer creates XSL transformation files that, when applied to an XML document during export, interpret or transform the XML data into a presentation format that can be recognized by another application, such as Service Advertising Protocol (SAP) or a custom purchase order format.	Typically, a developer creates an XSL transformation file that, when applied to an XML document during export, interpret or transform the XML data into a presentation format that can be recognized by another application, such as Service Advertising Protocol (SAP) or a custom purchase order format.	1	1	11	file
eng_0001	eng	SG	interprets or transforms the XML data into a presentation format that can be recognized by another application, such as Service Advertising Protocol (SAP) or a custom purchase order format.	SG	Typically, a developer creates an XSL transformation file that, when applied to an XML document during export,	PL	Typically, a developer creates XSL transformation files that, when applied to an XML document during export,	Typically, a developer creates an XSL transformation file that, when applied to an XML document during export, interprets or transforms the XML data into a presentation format that can be recognized by another application, such as Service Advertising Protocol (SAP) or a custom purchase order format.	Typically, a developer creates XSL transformation files that, when applied to an XML document during export, interprets or transforms the XML data into a presentation format that can be recognized by another application, such as Service Advertising Protocol (SAP) or a custom purchase order format.	1	1	11	file
eng_0003	eng	PL	point toward a grim and painful future?	PL	Can you accept that the roads we are travelling	SG	Can you accept that the road we are travelling	Can you accept that the roads we are travelling point toward a grim and painful future?	Can you accept that the road we are travelling point toward a grim and painful future?	3	1	4	road
eng_0003	eng	SG	points toward a grim and painful future?	SG	Can you accept that the road we are travelling	PL	Can you accept that the roads we are travelling	Can you accept that the road we are travelling points toward a grim and painful future?	Can you accept that the roads we are travelling points toward a grim and painful future?	3	1	4	road
eng_0004	eng	PL	proceed progressively from more to less contained conditions – from the laboratory to confined trials to limited field trials.	PL	Scientific research projects to develop products like irradiated sterile insects or the Oxitec mosquitoes	SG	A scientific research project to develop products like irradiated sterile insects or the Oxitec mosquitoes	Scientific research projects to develop products like irradiated sterile insects or the Oxitec mosquitoes proceed progressively from more to less contained conditions – from the laboratory to confined trials to limited field trials.	A scientific research project to develop products like irradiated sterile insects or the Oxitec mosquitoes proceed progressively from more to less contained conditions – from the laboratory to confined trials to limited field trials.	4	1	12	research
eng_0004	eng	SG	proceeds progressively from more to less contained conditions – from the laboratory to confined trials to limited field trials.	SG	A scientific research project to develop products like irradiated sterile insects or the Oxitec mosquitoes	PL	Scientific research projects to develop products like irradiated sterile insects or the Oxitec mosquitoes	A scientific research project to develop products like irradiated sterile insects or the Oxitec mosquitoes proceeds progressively from more to less contained conditions – from the laboratory to confined trials to limited field trials.	Scientific research projects to develop products like irradiated sterile insects or the Oxitec mosquitoes proceeds progressively from more to less contained conditions – from the laboratory to confined trials to limited field trials.	4	1	12	research
eng_0005	eng	PL	strengthen the realist representation.	PL	Balzac's uses of repeating characters, moving in and out of the Comédie's books,	SG	Balzac's use of repeating characters, moving in and out of the Comédie's books,	Balzac's uses of repeating characters, moving in and out of the Comédie's books, strengthen the realist representation.	Balzac's use of repeating characters, moving in and out of the Comédie's books, strengthen the realist representation.	5	1	15	use
eng_0005	eng	SG	strengthens the realist representation.	SG	Balzac's use of repeating characters, moving in and out of the Comédie's books,	PL	Balzac's uses of repeating characters, moving in and out of the Comédie's books,	Balzac's use of repeating characters, moving in and out of the Comédie's books, strengthens the realist representation.	Balzac's uses of repeating characters, moving in and out of the Comédie's books, strengthens the realist representation.	5	1	15	use
