pair_id	language	target_number	continuation	good_prefix_type	good_prefix	bad_prefix_type	bad_prefix	good_sentence	bad_sentence	subject_good	subject_bad	source_idx	has_attractor	distance	subject_lemma
spa_0001	spa	SG	será retirado hoy de las salas a petición de su realizador y de su distribuidora italiana.	SG	El filme del cineasta francés Bruno Dumont, que obtuvo el Gran Premio del Jurado en el último festival de Cannes,	PL	Los filmes del cineasta francés Bruno Dumont, que obtuvieron el Gran Premio del Jurado en el último festival de Cannes,	El filme del cineasta francés Bruno Dumont, que obtuvo el Gran Premio del Jurado en el último festival de Cannes, será retirado hoy de las salas a petición de su realizador y de su distribuidora italiana.	Los filmes del cineasta francés Bruno Dumont, que obtuvieron el Gran Premio del Jurado en el último festival de Cannes, será retirado hoy de las salas a petición de su realizador y de su distribuidora italiana.	filme	filmes	1	1	23	filme
spa_0001	spa	PL	serán retirados hoy de las salas a petición de su realizador y de su distribuidora italiana.	PL	Los filmes del cineasta francés Bruno Dumont, que obtuvieron el Gran Premio del Jurado en el último festival de Cannes,	SG	El filme del cineasta francés Bruno Dumont, que obtuvo el Gran Premio del Jurado en el último festival de Cannes,	Los filmes del cineasta francés Bruno Dumont, que obtuvieron el Gran Premio del Jurado en el último festival de Cannes, serán retirados hoy de las salas a petición de su realizador y de su distribuidora italiana.	El filme del cineasta francés Bruno Dumont, que obtuvo el Gran Premio del Jurado en el último festival de Cannes, serán retirados hoy de las salas a petición de su realizador y de su distribuidora italiana.	filmes	filme	1	1	23	filme
spa_0002	spa	SG	debería tener ni el más mínimo margen de riesgo.	SG	Porque un gobierno con una economía que crece como la Argentina y con una oposición fragmentada y confusa, no	PL	Porque unos gobiernos con una economía que crece como la Argentina y con una oposición fragmentada y confusa, no	Porque un gobierno con una economía que crece como la Argentina y con una oposición fragmentada y confusa, no debería tener ni el más mínimo margen de riesgo.	Porque unos gobiernos con una economía que crece como la Argentina y con una oposición fragmentada y confusa, no debería tener ni el más mínimo margen de riesgo.	gobierno	gobiernos	2	1	18	gobierno
spa_0002	spa	PL	deberían tener ni el más mínimo margen de riesgo.	PL	Porque unos gobiernos con una economía que crece como la Argentina y con una oposición fragmentada y confusa, no	SG	Porque un gobierno con una economía que crece como la Argentina y con una oposición fragmentada y confusa, no	Porque unos gobiernos con una economía que crece como la Argentina y con una oposición fragmentada y confusa, no deberían tener ni el más mínimo margen de riesgo.	Porque un gobierno con una economía que crece como la Argentina y con una oposición fragmentada y confusa, no deberían tener ni el más mínimo margen de riesgo.	gobiernos	gobierno	2	1	18	gobierno
spa_0003	spa	SG	deberá recordar la presentación durante mucho tiempo.	SG	Ciertamente, cualquiera que haya visto el show de la cantante	PL	Ciertamente, cualesquiera que hayan visto el show de la cantante	Ciertamente, cualquiera que haya visto el show de la cantante deberá recordar la presentación durante mucho tiempo.	Ciertamente, cualesquiera que hayan visto el show de la cantante deberá recordar la presentación durante mucho tiempo.	cualquiera	cualesquiera	3	1	9	cualquiera
spa_0003	spa	PL	deberán recordar la presentación durante mucho tiempo.	PL	Ciertamente, cualesquiera que hayan visto el show de la cantante	SG	Ciertamente, cualquiera que haya visto el show de la cantante	Ciertamente, cualesquiera que hayan visto el show de la cantante deberán recordar la presentación durante mucho tiempo.	Ciertamente, cualquiera que haya visto el show de la cantante deberán recordar la presentación durante mucho tiempo.	cualesquiera	cualquiera	3	1	9	cualquiera
spa_0006	spa	SG	sea recordado en momentos tan trágicos justamente para la ilustración y la inteligencia.	SG	"Personalmente, me ha parecido de una especial significación que el hombre que lanzó el simpático grito de ""Muera la inteligencia"","	PL	"Personalmente, me ha parecido de una especial significación que los hombres que lanzaron el simpático grito de ""Muera la inteligencia"","	"Personalmente, me ha parecido de una especial significación que el hombre que lanzó el simpático grito de ""Muera la inteligencia"", sea recordado en momentos tan trágicos justamente para la ilustración y la inteligencia."	"Personalmente, me ha parecido de una especial significación que los hombres que lanzaron el simpático grito de ""Muera la inteligencia"", sea recordado en momentos tan trágicos justamente para la ilustración y la inteligencia."	hombre	hombres	7	1	13	hombre
spa_0006	spa	PL	sean recordados en momentos tan trágicos justamente para la ilustración y la inteligencia.	PL	"Personalmente, me ha parecido de una especial significación que los hombres que lanzaron el simpático grito de ""Muera la inteligencia"","	SG	"Personalmente, me ha parecido de una especial significación que el hombre que lanzó el simpático grito de ""Muera la inteligencia"","	"Personalmente, me ha parecido de una especial significación que los hombres que lanzaron el simpático grito de ""Muera la inteligencia"", sean recordados en momentos tan trágicos justamente para la ilustración y la inteligencia."	"Personalmente, me ha parecido de una especial significación que el hombre que lanzó el simpático grito de ""Muera la inteligencia"", sean recordados en momentos tan trágicos justamente para la ilustración y la inteligencia."	hombres	hombre	7	1	13	hombre
spa_0007	spa	SG	habría empujado a los portadores de la cerámica cordada hacia el sur y posteriormente, hacia el este.	SG	El movimiento de empuje de estos pueblos	PL	Los movimientos de empuje de estos pueblos	El movimiento de empuje de estos pueblos habría empujado a los portadores de la cerámica cordada hacia el sur y posteriormente, hacia el este.	Los movimientos de empuje de estos pueblos habría empujado a los portadores de la cerámica cordada hacia el sur y posteriormente, hacia el este.	movimiento	movimientos	8	1	6	movimiento
spa_0007	spa	PL	habrían empujado a los portadores de la cerámica cordada hacia el sur y posteriormente, hacia el este.	PL	Los movimientos de empuje de estos pueblos	SG	El movimiento de empuje de estos pueblos	Los movimientos de empuje de estos pueblos habrían empujado a los portadores de la cerámica cordada hacia el sur y posteriormente, hacia el este.	El movimiento de empuje de estos pueblos habrían empujado a los portadores de la cerámica cordada hacia el sur y posteriormente, hacia el este.	movimientos	movimiento	8	1	6	movimiento
spa_0008	spa	SG	puede dar la victoria a este jurista de 65 años en las elecciones presidenciales del 24 de enero en Croacia.	SG	La refrescante imagen jovial y espontánea de Stjepan Mesic, que contrasta con la seria y formal del difunto jefe del Estado Franjo Tudjman,	PL	Las refrescantes imágenes joviales y espontáneas de Stjepan Mesic, que contrastan con la seria y formal del difunto jefe del Estado Franjo Tudjman,	La refrescante imagen jovial y espontánea de Stjepan Mesic, que contrasta con la seria y formal del difunto jefe del Estado Franjo Tudjman, puede dar la victoria a este jurista de 65 años en las elecciones presidenciales del 24 de enero en Croacia.	Las refrescantes imágenes joviales y espontáneas de Stjepan Mesic, que contrastan con la seria y formal del difunto jefe del Estado Franjo Tudjman, puede dar la victoria a este jurista de 65 años en las elecciones presidenciales del 24 de enero en Croacia.	imagen	imágenes	9	1	25	imagen
spa_0008	spa	PL	pueden dar la victoria a este jurista de 65 años en las elecciones presidenciales del 24 de enero en Croacia.	PL	Las refrescantes imágenes joviales y espontáneas de Stjepan Mesic, que contrastan con la seria y formal del difunto jefe del Estado Franjo Tudjman,	SG	La refrescante imagen jovial y espontánea de Stjepan Mesic, que contrasta con la seria y formal del difunto jefe del Estado Franjo Tudjman,	Las refrescantes imágenes joviales y espontáneas de Stjepan Mesic, que contrastan con la seria y formal del difunto jefe del Estado Franjo Tudjman, pueden dar la victoria a este jurista de 65 años en las elecciones presidenciales del 24 de enero en Croacia.	La refrescante imagen jovial y espontánea de Stjepan Mesic, que contrasta con la seria y formal del difunto jefe del Estado Franjo Tudjman, pueden dar la victoria a este jurista de 65 años en las elecciones presidenciales del 24 de enero en Croacia.	imágenes	imagen	9	1	25	imagen
spa_0009	spa	SG	estará girando alrededor de la Tierra hasta el año 2002, según ha decidido el Gobierno ruso.	SG	La vieja estación Mir	PL	Las viejas estaciones Mir	La vieja estación Mir estará girando alrededor de la Tierra hasta el año 2002, según ha decidido el Gobierno ruso.	Las viejas estaciones Mir estará girando alrededor de la Tierra hasta el año 2002, según ha decidido el Gobierno ruso.	estación	estaciones	10	0	2	estación
spa_0009	spa	PL	estarán girando alrededor de la Tierra hasta el año 2002, según ha decidido el Gobierno ruso.	PL	Las viejas estaciones Mir	SG	La vieja estación Mir	Las viejas estaciones Mir estarán girando alrededor de la Tierra hasta el año 2002, según ha decidido el Gobierno ruso.	La vieja estación Mir estarán girando alrededor de la Tierra hasta el año 2002, según ha decidido el Gobierno ruso.	estaciones	estación	10	0	2	estación
spa_0011	spa	SG	será presenciada por el primer ministro Keizo Obuchi el próximo lunes a través de monitores instalados en una base militar en Shiga, al oeste de Japón.	SG	La primera sesión para destruir las minas antipersonales	PL	Las primeras sesiones para destruir las minas antipersonales	La primera sesión para destruir las minas antipersonales será presenciada por el primer ministro Keizo Obuchi el próximo lunes a través de monitores instalados en una base militar en Shiga, al oeste de Japón.	Las primeras sesiones para destruir las minas antipersonales será presenciada por el primer ministro Keizo Obuchi el próximo lunes a través de monitores instalados en una base militar en Shiga, al oeste de Japón.	sesión	sesiones	13	1	6	sesión
spa_0011	spa	PL	serán presenciadas por el primer ministro Keizo Obuchi el próximo lunes a través de monitores instalados en una base militar en Shiga, al oeste de Japón.	PL	Las primeras sesiones para destruir las minas antipersonales	SG	La primera sesión para destruir las minas antipersonales	Las primeras sesiones para destruir las minas antipersonales serán presenciadas por el primer ministro Keizo Obuchi el próximo lunes a través de monitores instalados en una base militar en Shiga, al oeste de Japón.	La primera sesión para destruir las minas antipersonales serán presenciadas por el primer ministro Keizo Obuchi el próximo lunes a través de monitores instalados en una base militar en Shiga, al oeste de Japón.	sesiones	sesión	13	1	6	sesión
spa_0013	spa	SG	supo precisar dónde será enterrado Saramago, si en Lanzarote o en Portugal, una cuestión que decidirán los allegados, indicó.	SG	El alcalde, que ha decretado tres días de luto como muestra de respeto, aprecio y reconocimiento, no	PL	Los alcaldes, que han decretado tres días de luto como muestra de respeto, aprecio y reconocimiento, no	El alcalde, que ha decretado tres días de luto como muestra de respeto, aprecio y reconocimiento, no supo precisar dónde será enterrado Saramago, si en Lanzarote o en Portugal, una cuestión que decidirán los allegados, indicó.	Los alcaldes, que han decretado tres días de luto como muestra de respeto, aprecio y reconocimiento, no supo precisar dónde será enterrado Saramago, si en Lanzarote o en Portugal, una cuestión que decidirán los allegados, indicó.	alcalde	alcaldes	15	1	19	alcalde
