pair_id	language	target_number	good_prefix	bad_prefix	continuation	source_idx	distance	has_attractor	template_id	phenomenon_family
eng_0000	eng	PL	The teachers	The teacher	correct the exams for the class.	0	1	0	simple_np	SV-#
eng_0000	eng	SG	The teacher	The teachers	corrects the exams for the class.	0	1	0	simple_np	SV-#
eng_0001	eng	PL	Some dogs	A dog	bark at the passerby every morning.	1	1	0	simple_np	SV-#
eng_0001	eng	SG	A dog	Some dogs	barks at the passerby every morning.	1	1	0	simple_np	SV-#
eng_0002	eng	PL	These companies	This company	announce a new product line today.	2	1	0	simple_np	SV-#
eng_0002	eng	SG	This company	These companies	announces a new product line today.	2	1	0	simple_np	SV-#
eng_0003	eng	PL	My children	My child	play the piano after school.	3	1	0	simple_np	SV-#
eng_0003	eng	SG	My child	My children	plays the piano after school.	3	1	0	simple_np	SV-#
eng_0004	eng	PL	Several studies	A study	show a correlation between sleep and mood.	4	1	0	simple_np	SV-#
eng_0004	eng	SG	A study	Several studies	shows a correlation between sleep and mood.	4	1	0	simple_np	SV-#
eng_0005	eng	PL	These paintings	This painting	hang on the gallery wall.	5	1	0	simple_np	SV-#
eng_0005	eng	SG	This painting	These paintings	hangs on the gallery wall.	5	1	0	simple_np	SV-#
eng_0006	eng	PL	Their policies	Their policy	affect employee schedules next month.	6	1	0	simple_np	SV-#
eng_0006	eng	SG	Their policy	Their policies	affects employee schedules next month.	6	1	0	simple_np	SV-#
eng_0007	eng	PL	Students	The student	study the chapter before the exam.	7	1	0	simple_np	SV-#
eng_0007	eng	SG	The student	Students	studies the chapter before the exam.	7	1	0	simple_np	SV-#
eng_0008	eng	PL	Those mountains	That mountain	erode slowly during heavy rain.	8	1	0	simple_np	SV-#
eng_0008	eng	SG	That mountain	Those mountains	erodes slowly during heavy rain.	8	1	0	simple_np	SV-#
eng_0009	eng	PL	Our teams	Our team	celebrate the victory tonight.	9	1	0	simple_np	SV-#
eng_0009	eng	SG	Our team	Our teams	celebrates the victory tonight.	9	1	0	simple_np	SV-#
eng_0010	eng	PL	the big dogs	the big dog	bark at the mailman	10	2	0	adj_np	SV-#
eng_0010	eng	SG	the big dog	the big dogs	barks at the mailman	10	2	0	adj_np	SV-#
eng_0011	eng	PL	some young scientists	a young scientist	publish a paper every year	11	2	0	adj_np	SV-#
eng_0011	eng	SG	a young scientist	some young scientists	publishes a paper every year	11	2	0	adj_np	SV-#
eng_0012	eng	PL	these ancient trees	this ancient tree	shed their leaves in autumn	12	2	0	adj_np	SV-#
eng_0012	eng	SG	this ancient tree	these ancient trees	sheds its leaves in autumn	12	2	0	adj_np	SV-#
eng_0013	eng	PL	the red bicycles	the red bicycle	sit by the cafe rack	13	2	0	adj_np	SV-#
eng_0013	eng	SG	the red bicycle	the red bicycles	sits by the cafe rack	13	2	0	adj_np	SV-#
eng_0014	eng	PL	my clever assistants	my clever assistant	solve complex problems quickly	14	2	0	adj_np	SV-#
