sen	verb	verb_idx	cop	cop_idx	child	child_idx	child_features	child_upos	head	head_idx	head_features	head_upos	distance	attractors	metadata	swap_head	feature_vals	prefix	wrong_sen	congruent_attractors	incongruent_attractors	num_attractors	num_congruent_attractors	num_incongruent_attractors	has_attractors	only_has_congruent_attractors	only_has_incongruent_attractors	sample_weight	phenomenon	lang	grammatical_feature	ungrammatical_feature	wo	inflect_item	agreement_certainty
The below site from the US government verifies this-it 's the same for Canada ,too.....	verifies				site		{'Number': 'Sing', 'lemma': 'site'}	NOUN	verifies				5	[]	"{'sent_id': 'answers-20111108101024AANYJpw_ans-0023', 'text': ""The below site from the US government verifies this-it's the same for Canada ,too....."", 'treebank': 'UD_English-EWT/en_ewt-ud-train.conllu', 'multiblimp_extended': True, 'pair_id': 'eng_0000', 'extended_role': 'sg'}"	verify	SG -> PL	The below site from the US government	The below site from the US government verify this-it 's the same for Canada ,too.....	[]	[]	0	0	0	False	False	False	0.0117735259540339	SV-#	eng	SG	PL	SV	verb	+
The below sites from the US government verify this-it 's the same for Canada ,too.....	verifies				sites		{'lemma': 'site', 'Number': 'Plur'}	NOUN	verify				5	[]	"{'sent_id': 'answers-20111108101024AANYJpw_ans-0023', 'text': ""The below site from the US government verifies this-it's the same for Canada ,too....."", 'treebank': 'UD_English-EWT/en_ewt-ud-train.conllu', 'multiblimp_extended': True, 'pair_id': 'eng_0000', 'extended_role': 'pl'}"	verifies	PL -> SG	The below sites from the US government	The below sites from the US government verifies this-it 's the same for Canada ,too.....	[]	[]	0	0	0	False	False	False	0.0117735259540339	SV-#	eng	PL	SG	SV	verb	+
Typically, a developer creates an XSL transformation file that, when applied to an XML document during export, interprets or transforms the XML data into a presentation format that can be recognized by another application, such as Service Advertising Protocol (SAP) or a custom purchase order format.	interprets				that		{'PronType': 'Rel', 'lemma': 'that'}	PRON	interprets				11	[]	{'sent_id': 'en_lines-ud-train-doc1-127', 'text': 'Typically, a developer creates an XSL transformation file that, when applied to an XML document during export, interprets or transforms the XML data into a presentation format that can be recognized by another application, such as Service Advertising Protocol (SAP) or a custom purchase order format.', 'treebank': 'UD_English-LinES/en_lines-ud-train.conllu', 'multiblimp_extended': True, 'pair_id': 'eng_0001', 'extended_role': 'sg'}	interpret	SG -> PL	Typically, a developer creates an XSL transformation file that, when applied to an XML document during export,	Typically, a developer creates an XSL transformation file that, when applied to an XML document during export, interpret or transform the XML data into a presentation format that can be recognized by another application, such as Service Advertising Protocol (SAP) or a custom purchase order format.	[]	[]	0	0	0	False	False	False	0.0005163827172821	SV-#	eng	SG	PL	SV	verb	+
Typically, a developer creates XSL transformation files that, when applied to an XML document during export, interpret or transform the XML data into a presentation format that can be recognized by another application, such as Service Advertising Protocol (SAP) or a custom purchase order format.	interprets				XSL transformation files		{'lemma': 'that', 'Number': 'Plur'}	NOUN	interpret				11	[]	{'sent_id': 'en_lines-ud-train-doc1-127', 'text': 'Typically, a developer creates an XSL transformation file that, when applied to an XML document during export, interprets or transforms the XML data into a presentation format that can be recognized by another application, such as Service Advertising Protocol (SAP) or a custom purchase order format.', 'treebank': 'UD_English-LinES/en_lines-ud-train.conllu', 'multiblimp_extended': True, 'pair_id': 'eng_0001', 'extended_role': 'pl'}	interprets	PL -> SG	Typically, a developer creates XSL transformation files that, when applied to an XML document during export,	Typically, a developer creates XSL transformation files that, when applied to an XML document during export, interprets or transforms the XML data into a presentation format that can be recognized by another application, such as Service Advertising Protocol (SAP) or a custom purchase order format.	[]	[]	0	0	0	False	False	False	0.0005163827172821	SV-#	eng	PL	SG	SV	verb	+
"In the best case, the clamoring for a ""refund"" subsides."	subsides				clamoring		{'Number': 'Sing', 'lemma': 'clamoring'}	NOUN	subsides.				6	[]	"{'sent_id': 'email-enronsent05_02-0090', 'text': 'In the best case, the clamoring for a ""refund"" subsides.', 'treebank': 'UD_English-EWT/en_ewt-ud-train.conllu', 'multiblimp_extended': True, 'pair_id': 'eng_0002', 'extended_role': 'sg'}"	subside.	SG -> PL	"In the best case, the clamoring for a ""refund"""	"In the best case, the clamoring for a ""refund"" subside."	[]	[]	0	0	0	False	False	False	0.0160548081191371	SV-#	eng	SG	PL	SV	verb	+
"In the best case, the clamorings for a ""refund"" subside."	subsides				clamorings		{'lemma': 'clamoring', 'Number': 'Plur'}	NOUN	subside.				6	[]	"{'sent_id': 'email-enronsent05_02-0090', 'text': 'In the best case, the clamoring for a ""refund"" subsides.', 'treebank': 'UD_English-EWT/en_ewt-ud-train.conllu', 'multiblimp_extended': True, 'pair_id': 'eng_0002', 'extended_role': 'pl'}"	subsides.	PL -> SG	"In the best case, the clamorings for a ""refund"""	"In the best case, the clamorings for a ""refund"" subsides."	[]	[]	0	0	0	False	False	False	0.0160548081191371	SV-#	eng	PL	SG	SV	verb	+
Can you accept that the road we are travelling points toward a grim and painful future?	points				road		{'Number': 'Sing', 'lemma': 'road'}	NOUN	points				4	[]	{'sent_id': 'newsgroup-groups.google.com_humanities.lit.authors.shakespeare_0c155162a7dfaf28_ENG_20031127_172200-0031', 'text': 'Can you accept that the road we are travelling points toward a grim and painful future?', 'treebank': 'UD_English-EWT/en_ewt-ud-train.conllu', 'multiblimp_extended': True, 'pair_id': 'eng_0003', 'extended_role': 'sg'}	point	SG -> PL	Can you accept that the road we are travelling	Can you accept that the road we are travelling point toward a grim and painful future?	[]	[]	0	0	0	False	False	False	0.0946361135109572	SV-#	eng	SG	PL	SV	verb	+
Can you accept that the roads we are travelling point toward a grim and painful future?	points				roads		{'lemma': 'road', 'Number': 'Plur'}	NOUN	point				4	[]	{'sent_id': 'newsgroup-groups.google.com_humanities.lit.authors.shakespeare_0c155162a7dfaf28_ENG_20031127_172200-0031', 'text': 'Can you accept that the road we are travelling points toward a grim and painful future?', 'treebank': 'UD_English-EWT/en_ewt-ud-train.conllu', 'multiblimp_extended': True, 'pair_id': 'eng_0003', 'extended_role': 'pl'}	points	PL -> SG	Can you accept that the roads we are travelling	Can you accept that the roads we are travelling points toward a grim and painful future?	[]	[]	0	0	0	False	False	False	0.0946361135109572	SV-#	eng	PL	SG	SV	verb	+
Scientific research to develop products like irradiated sterile insects or the Oxitec mosquitoes proceeds progressively from more to less contained conditions – from the laboratory to confined trials to limited field trials.	proceeds				research		{'Number': 'Sing', 'lemma': 'research'}	NOUN	proceeds				12	[]	{'sent_id': 'en_partut-ud-1511', 'text': 'Scientific research to develop products like irradiated sterile insects or the Oxitec mosquitoes proceeds progressively from more to less contained conditions – from the laboratory to confined trials to limited field trials.', 'treebank': 'UD_English-ParTUT/en_partut-ud-train.conllu', 'multiblimp_extended': True, 'pair_id': 'eng_0004', 'extended_role': 'sg'}	proceed	SG -> PL	Scientific research to develop products like irradiated sterile insects or the Oxitec mosquitoes	Scientific research to develop products like irradiated sterile insects or the Oxitec mosquitoes proceed progressively from more to less contained conditions – from the laboratory to confined trials to limited field trials.	[]	[]	0	0	0	False	False	False	0.3075673689106111	SV-#	eng	SG	PL	SV	verb	+
Scientific research projects to develop products like irradiated sterile insects or the Oxitec mosquitoes proceed progressively from more to less contained conditions – from the laboratory to confined trials to limited field trials.	proceeds				research projects		{'lemma': 'research', 'Number': 'Plur'}	NOUN	proceed				12	[]	{'sent_id': 'en_partut-ud-1511', 'text': 'Scientific research to develop products like irradiated sterile insects or the Oxitec mosquitoes proceeds progressively from more to less contained conditions – from the laboratory to confined trials to limited field trials.', 'treebank': 'UD_English-ParTUT/en_partut-ud-train.conllu', 'multiblimp_extended': True, 'pair_id': 'eng_0004', 'extended_role': 'pl'}	proceeds	PL -> SG	Scientific research projects to develop products like irradiated sterile insects or the Oxitec mosquitoes	Scientific research projects to develop products like irradiated sterile insects or the Oxitec mosquitoes proceeds progressively from more to less contained conditions – from the laboratory to confined trials to limited field trials.	[]	[]	0	0	0	False	False	False	0.3075673689106111	SV-#	eng	PL	SG	SV	verb	+
